name,type,state,description,budget,duration,activities,best_time,rating
Goa Beaches,beach,Goa,"Beautiful sandy beaches with water sports and vibrant nightlife. Family-friendly beaches like Candolim and Calangute offer safe swimming areas and amenities.",5000,8,"Swimming, Water Sports, Beach Walks, Seafood",November-February,4.5
Shimla,mountain,Himachal Pradesh,"Popular hill station with colonial architecture and scenic views. Mall Road offers shopping and dining. Safe for families with children.",7000,12,"Toy Train, Mall Road Shopping, Ridge Walking, Nature Walks",March-June,4.3
Taj Mahal,heritage,Uttar Pradesh,"Iconic marble monument and UNESCO World Heritage Site. Well-maintained gardens and facilities. Educational experience for children.",3000,4,"Monument Tour, Photography, Gardens, Museum",October-March,4.8
Jim Corbett National Park,wildlife,Uttarakhand,"India's oldest national park with diverse wildlife including tigers. Family-friendly safari zones with experienced guides.",8000,24,"Jeep Safari, Bird Watching, Nature Walks, Wildlife Photography",November-June,4.4
Jaipur,heritage,Rajasthan,"The Pink City with magnificent forts and palaces. Family-friendly attractions like Amber Fort with elephant rides and cultural shows.",6000,10,"Fort Visits, Palace Tours, Shopping, Cultural Shows, Camel Rides",October-March,4.6
Munnar,mountain,Kerala,"Scenic hill station with tea plantations and misty mountains. Peaceful environment suitable for families. Cool climate year-round.",5500,12,"Tea Estate Tours, Boating, Nature Walks, Photography",September-May,4.5
Hampi,heritage,Karnataka,"Ancient ruins and temples showcasing Vijayanagara Empire architecture. UNESCO World Heritage Site with historical significance.",4000,8,"Temple Tours, Ruins Exploration, Coracle Ride, Historical Learning",October-February,4.4
Andaman Islands,beach,Andaman and Nicobar,"Pristine beaches with crystal clear waters and coral reefs. Havelock Island is family-friendly with safe beaches.",12000,48,"Snorkeling, Scuba Diving, Beach Activities, Island Hopping",October-May,4.7
Rishikesh,heritage,Uttarakhand,"Spiritual town on Ganges riverbank. Known for yoga and adventure sports. Mix of culture and nature.",4500,8,"River Rafting, Yoga, Temple Visits, Beatles Ashram, Ganga Aarti",September-November,4.5
Ooty,mountain,Tamil Nadu,"Queen of hill stations with botanical gardens and toy train. Pleasant weather and family-friendly attractions.",5000,10,"Botanical Gardens, Toy Train, Boating, Tea Gardens",April-June,4.3
